年,進口貨量,出口貨量,轉口進出倉貨量,進出轉口貨運量,郵件進出口貨量,總貨運量
2014,483386869,560535338,1028679810,2072602017,16124687,2088726704
2015,480747171,554289866,970240224,2005277261,16587802,2021865063
2016,533282089,576402588,971358369,2081043046,16185376,2097228422
2017,594971544,604611966,1053560203,2253143713,16441611,2269585324
2018,626749726,574813337,1103642917,2305205980,17614048,2322820028
2019,628643591,547428877,989143515,2165215983,17125807,2182341790
2020,573552460,572319201,1177540137,2323411798,19302470,2342714268
2021,681164799,740979335,1371440050,2793584184,18481155,2812065339
2022,644240101,633192598,1244969862,2522402561,16365749,2538768310
2023,532823832,498543041,1068633039,2099999912,12987637,2112987549
